,title,description,link,published
0,Австралийский теннисист резко высказался о матче с пойманным на допинге Синнером,,https://lenta.ru/news/2024/12/15/avstraliyskiy-tennisist-rezko-vyskazalsya-o-matche-s-poymannym-na-dopinge-sinnerom/,"Sun, 15 Dec 2024 23:55:28 +0300"
1,В Турции заявили о нежелании тратить десятки лет на кипрскую проблему,,https://lenta.ru/news/2024/12/15/v-turtsii-zayavili-o-nezhelanii-tratit-esche-60-let-na-kiprskuyu-problemu/,"Sun, 15 Dec 2024 23:41:00 +0300"
2,В России выбрали культурную столицу 2026 года,,https://lenta.ru/news/2024/12/15/v-rossii-vybrali-kulturnuyu-stolitsu-2026-goda/,"Sun, 15 Dec 2024 23:36:00 +0300"
3,Советник рассказал о контактах Трампа с противниками США,,https://lenta.ru/news/2024/12/15/sovetnik-rasskazal-o-kontaktah-trampa-s-protivnikami-ssha/,"Sun, 15 Dec 2024 23:34:00 +0300"
4,В Польше раскрыли подробности санкций ЕС за «гибридные действия» России,,https://lenta.ru/news/2024/12/15/v-polshe-soobschili-o-pervyh-sanktsiyah-es-za-gibridnye-deystviya-rossii/,"Sun, 15 Dec 2024 23:24:00 +0300"
5,В Германии высказались о прямом столкновении с Россией,,https://lenta.ru/news/2024/12/15/v-germanii-vyskazalis-o-pryamom-stolknovenii-s-rossiey/,"Sun, 15 Dec 2024 23:13:00 +0300"
6,Чемезов назвал спасителя российского ОПК,,https://lenta.ru/news/2024/12/15/chemezov-nazval-putina-spasitelem-rossiyskogo-opk/,"Sun, 15 Dec 2024 23:09:00 +0300"
7,В Госдуме предложили вернуть талоны на еду,,https://lenta.ru/news/2024/12/15/v-gosdume-predlozhili-vernut-talony-na-edu/,"Sun, 15 Dec 2024 23:04:00 +0300"
8,Бастрыкина попросили проверить главу Hardcore из-за подозрений в обмане бойцов СВО,,https://lenta.ru/news/2024/12/15/sk-poprosili-proverit-glavu-hardcore-iz-za-podozreniy-v-obmane-rossiyskih-boytsov/,"Sun, 15 Dec 2024 22:57:00 +0300"
9,В центре Москвы перекрыли движение из-за пожара,,https://lenta.ru/news/2024/12/15/v-moskve-perekryli-dvizhenie-iz-za-pozhara/,"Sun, 15 Dec 2024 22:53:00 +0300"
10,Сборная России по плаванию заняла второе место в медальном зачете чемпионата мира,,https://lenta.ru/news/2024/12/15/sbornaya-rossii-po-plavaniyu-zanyala-vtoroe-mesto-v-medalnom-zachete-chempionata-mira/,"Sun, 15 Dec 2024 22:50:24 +0300"
11,Количество обращений на прямую линию Путина превысило миллион,,https://lenta.ru/news/2024/12/15/kolichestvo-obrascheniy-na-pryamuyu-liniyu-putina-prevysilo-million/,"Sun, 15 Dec 2024 22:43:00 +0300"
12,На парковке в Петербурге начался мощный пожар,,https://lenta.ru/news/2024/12/15/v-peterburge-pozhar/,"Sun, 15 Dec 2024 22:36:00 +0300"
13,Маск предупредил о надвигающейся на США серьезной проблеме,,https://lenta.ru/news/2024/12/15/mask-predupredil-o-serieznoy-probleme/,"Sun, 15 Dec 2024 22:34:00 +0300"
14,Ученые выявили новую причину развития рака,,https://lenta.ru/news/2024/12/15/uchenye-vyyavili-novuyu-prichinu-razvitiya-raka/,"Sun, 15 Dec 2024 22:33:00 +0300"
15,В Швейцарии прекратили дело против дяди Асада,,https://lenta.ru/news/2024/12/15/v-shveytsarii-prekratili-delo-protiv-dyadi-asada/,"Sun, 15 Dec 2024 22:23:00 +0300"
16,В российском регионе ввели свободное посещение в школах,,https://lenta.ru/news/2024/12/15/vlasti-rossiyskogo-regiona/,"Sun, 15 Dec 2024 22:17:00 +0300"
17,Генштаб ВСУ назвал одно из «самых горячих» направлений,,https://lenta.ru/news/2024/12/15/genshtab-vsu-nazval-odno-iz-samyh-goryachih/,"Sun, 15 Dec 2024 22:05:00 +0300"
18,В Литве эстонские туристы помочились на подарки под елкой и попали на видео,,https://lenta.ru/news/2024/12/15/v-litve-estonskie-turisty-pomochilis-na-podarki-pod-elkoy-i-popali-na-video/,"Sun, 15 Dec 2024 21:58:00 +0300"
19,Зеленский захотел помочь Сирии зерном и маслом,,https://lenta.ru/news/2024/12/15/zelenskiy-zahotel-pomoch-sirii-zernom-i-maslom/,"Sun, 15 Dec 2024 21:54:00 +0300"
20,В Раде поддержали выступающих против сноса памятников,,https://lenta.ru/news/2024/12/15/v-rade-podderzhali-vystupayuschih-protiv-snosa-pamyatnikov-ukraintsev/,"Sun, 15 Dec 2024 21:47:00 +0300"
